name,cloth,caption,PSNR,SSIM,LPIPS,CLIPScore
05006_00.jpg,11001_00.jpg,a photo of a person wearing the target garment,14.969127903248525,0.6400538086891174,0.17126435041427612,0.29219484329223633
02532_00.jpg,14096_00.jpg,a photo of a person wearing the target garment,16.018466747787567,0.7428629994392395,0.1979956477880478,0.2768329977989197
03921_00.jpg,08015_00.jpg,a photo of a person wearing the target garment,14.353007491135386,0.6091229915618896,0.28112247586250305,0.25774773955345154
12419_00.jpg,01944_00.jpg,a photo of a person wearing the target garment,17.841735028814526,0.7089892029762268,0.19594430923461914,0.25663119554519653
12562_00.jpg,14025_00.jpg,a photo of a person wearing the target garment,15.986787008790024,0.6961326003074646,0.22846610844135284,0.2708101272583008
08650_00.jpg,03569_00.jpg,a photo of a person wearing the target garment,18.179406930075434,0.7937495112419128,0.19970233738422394,0.2746531665325165
08088_00.jpg,12810_00.jpg,a photo of a person wearing the target garment,17.020401477989722,0.7296091914176941,0.23202191293239594,0.27169695496559143
03191_00.jpg,00349_00.jpg,a photo of a person wearing the target garment,14.8027726756499,0.7242719531059265,0.3041415214538574,0.28401413559913635
08839_00.jpg,02327_00.jpg,a photo of a person wearing the target garment,18.380581855803683,0.7826271057128906,0.2444550096988678,0.2849556505680084
02944_00.jpg,13492_00.jpg,a photo of a person wearing the target garment,16.029359460801473,0.7424993515014648,0.18636032938957214,0.27226901054382324
01265_00.jpg,02973_00.jpg,a photo of a person wearing the target garment,17.665520915077785,0.7554823756217957,0.20823577046394348,0.25855252146720886
05378_00.jpg,02064_00.jpg,a photo of a person wearing the target garment,17.373994757483345,0.628803551197052,0.22530856728553772,0.26456254720687866
11085_00.jpg,06730_00.jpg,a photo of a person wearing the target garment,18.184688708332555,0.6823579668998718,0.20935848355293274,0.26664331555366516
02023_00.jpg,06154_00.jpg,a photo of a person wearing the target garment,14.395674478429694,0.787630021572113,0.21127162873744965,0.2803264856338501
14651_00.jpg,03304_00.jpg,a photo of a person wearing the target garment,15.500319925359058,0.7114095687866211,0.2287532389163971,0.2973925769329071
07342_00.jpg,02770_00.jpg,a photo of a person wearing the target garment,16.322001724629132,0.7937422394752502,0.16528984904289246,0.28791162371635437
00654_00.jpg,05838_00.jpg,a photo of a person wearing the target garment,17.057415970598065,0.7981478571891785,0.1793900728225708,0.2803851068019867
08239_00.jpg,10675_00.jpg,a photo of a person wearing the target garment,17.242475290684858,0.7405815124511719,0.21776573359966278,0.278436541557312
01985_00.jpg,11438_00.jpg,a photo of a person wearing the target garment,14.286364691020381,0.7108008861541748,0.2285470813512802,0.28038689494132996
12345_00.jpg,01155_00.jpg,a photo of a person wearing the target garment,13.886602640066162,0.7796329855918884,0.21403686702251434,0.2832863926887512
09569_00.jpg,06570_00.jpg,a photo of a person wearing the target garment,13.554542119543992,0.7518360614776611,0.2128613442182541,0.26960670948028564
01026_00.jpg,05010_00.jpg,a photo of a person wearing the target garment,15.705537900384387,0.6618755459785461,0.24658074975013733,0.2795884311199188
06110_00.jpg,04493_00.jpg,a photo of a person wearing the target garment,14.91355019391612,0.7895308136940002,0.21611857414245605,0.2705364227294922
12544_00.jpg,14193_00.jpg,a photo of a person wearing the target garment,14.964762585950556,0.7196624875068665,0.17862774431705475,0.2740054726600647
03073_00.jpg,14639_00.jpg,a photo of a person wearing the target garment,15.398347510092789,0.6382237076759338,0.17954733967781067,0.2916056215763092
08432_00.jpg,03718_00.jpg,a photo of a person wearing the target garment,16.3002267947849,0.8274614214897156,0.15927451848983765,0.275778204202652
07089_00.jpg,07382_00.jpg,a photo of a person wearing the target garment,14.831195774616063,0.7570094466209412,0.2336612492799759,0.27358224987983704
05392_00.jpg,01839_00.jpg,a photo of a person wearing the target garment,15.192057944063668,0.7301843166351318,0.2607782483100891,0.2788423001766205
14471_00.jpg,10567_00.jpg,a photo of a person wearing the target garment,16.994895062840897,0.648268461227417,0.226813405752182,0.2506846785545349
13565_00.jpg,03553_00.jpg,a photo of a person wearing the target garment,13.856783269737372,0.7321595549583435,0.2346082478761673,0.2686537206172943
01936_00.jpg,09263_00.jpg,a photo of a person wearing the target garment,16.015575706087915,0.5905002355575562,0.24038392305374146,0.2640921175479889
10310_00.jpg,01656_00.jpg,a photo of a person wearing the target garment,15.793021692030658,0.7646312117576599,0.1789531111717224,0.2797808349132538
09235_00.jpg,00190_00.jpg,a photo of a person wearing the target garment,15.59428699505978,0.6923532485961914,0.28853732347488403,0.284745991230011
00094_00.jpg,07309_00.jpg,a photo of a person wearing the target garment,15.830221409211237,0.7417637705802917,0.2845469117164612,0.2908634543418884
06068_00.jpg,11632_00.jpg,a photo of a person wearing the target garment,16.21547027550986,0.6369476318359375,0.2083154171705246,0.27430224418640137
09523_00.jpg,07573_00.jpg,a photo of a person wearing the target garment,16.752233501549796,0.7199902534484863,0.1939043402671814,0.26904502511024475
01215_00.jpg,11053_00.jpg,a photo of a person wearing the target garment,15.517792306309012,0.7972423434257507,0.12600979208946228,0.2773212492465973
11778_00.jpg,14196_00.jpg,a photo of a person wearing the target garment,16.273050889867527,0.6682717204093933,0.2740755081176758,0.27174362540245056
07194_00.jpg,00714_00.jpg,a photo of a person wearing the target garment,15.823666977391957,0.6993928551673889,0.21466201543807983,0.26750630140304565
13739_00.jpg,06360_00.jpg,a photo of a person wearing the target garment,17.854267526362158,0.6946448683738708,0.20519065856933594,0.2633638381958008
09691_00.jpg,00736_00.jpg,a photo of a person wearing the target garment,12.996191308585557,0.6650542616844177,0.29266875982284546,0.27613869309425354
09744_00.jpg,03719_00.jpg,a photo of a person wearing the target garment,15.010280973054776,0.5949860215187073,0.3005357086658478,0.2889052629470825
07005_00.jpg,10698_00.jpg,a photo of a person wearing the target garment,14.27866390632043,0.7757576107978821,0.2683725953102112,0.28087544441223145
06173_00.jpg,06269_00.jpg,a photo of a person wearing the target garment,17.6046561324809,0.7689833641052246,0.21523456275463104,0.2967739701271057
05692_00.jpg,01581_00.jpg,a photo of a person wearing the target garment,16.56410884134383,0.7986262440681458,0.18834231793880463,0.29021719098091125
12273_00.jpg,03711_00.jpg,a photo of a person wearing the target garment,17.15695982773366,0.8039267063140869,0.2873929738998413,0.29769232869148254
03284_00.jpg,14120_00.jpg,a photo of a person wearing the target garment,14.056656035026464,0.7156403660774231,0.2478477656841278,0.2836252450942993
13556_00.jpg,07703_00.jpg,a photo of a person wearing the target garment,16.255268651982146,0.6633289456367493,0.21452060341835022,0.2670632302761078
